igdb_id,alias
5565,Golden Axe: Senpuu
5565,Golden Axe: Fighting Blades
5565,Golden Axe Classic
270346,Super Mario World (Super Mario Advance 2)
7704,ActRaiser 2: Crusade to Silence
7704,ActRaiser 2: Chinmoku he no Seisen
5339,Nickelodeon: AAAHH!!! Real Monsters
46193,2020 Nen Super Baseball
38353,Accelebrid
42349,'96 National High School Soccer Championship
42349,'96 Zenkoku Koukou Soccer Senshuken
42568,Ballz
42568,3 Jigen Kakuto: Ballz
42568,3-jigen Kakutou: Ballz
42568,Ballz 3D: Fighting at Its Ballziest
38240,Four-person shogi
38240,4-nin Shougi
6979,46 Okunen Monogatari: Harukanaru Eden e
6979,EVO: The Search for Eden 
6979,46 Okunen Monogatari: Harukanaru Eden he 
6979,EVO: Search for Eden
6979,46 Okunen Monogatari – Harukanaru Eden e
42301,AIII S.V.
42301,AIII S.V.: Let's Take the A-Train 3 Super Version
42301,AIII S.V. Take The [A] Train 3 S.V.
42301,AIII S.V. A Ressha de Ikou 3 Super Version
42301,Take the A-Train 3 S.V.
63844,Aim for the Ace!
63844,Ace o Nerae!
38352,アクションパチ夫
49256,Aero the Acrobat
49256,Acrobat Kid
5352,3D After Burner II
5352,After Burner 2
7747,Aguri Suzuki F1 Super Driving
7747,Redline F-1 Racer 
8448,Donald Duck in Maui Mallard
8448,Maui Mallard
8448,Donald no Maui Mallard
8448,Disney's Donald in Maui Mallard
38196,Super Hockey '94
289866,PC Futbol Classic
289866,ProFootball.exe
42383,スヌーピーコンサート
705,FIFA 98
705,FIFA 98: A Caminho da Copa
705,FIFA: Road to World Cup 98 - World Cup he no Michi
705, FIFA 98 : En route pour la Coupe du monde
3285,Sufami Turbo Senyou Gekisou Sentai Carranger: Zenkai! Racer Senshi!
3285,Gekisō Sentai Carranger: Zenkai! Racer Senshi
37820,スーパー競輪
56417,Genocide²: Genocide Square
42479,NHLPA Hockey '93
560,AvP3
560,Aliens versus Predator
37854,Super Professional Baseball 2
71214,The First Samurai
82102,2 In 1: Asterix & Obelix Jetzt Geht's Rund! + Asterix & Obelix XXL
82102,2 Jeux: Asterix & Obelix Paf Par Toutatis & Asterix & Obelix XXL
114033,Taekwon-dou
114033,Taekwondo
114033,Tekondou
18067,Demon's Blazon: Demon World Village Crest Chapter
18067,Demon's Blazon
18067,Demon's Blazon: Makaimura Monshou-hen
1073,Super Mario: Yoshi's Island
1073,Yoshi's Island
1073,Super Mario World 2
1073,スーパマリオワールド2
1073,Super Mario Brothers 5: Yoshi's Island
240915,Super Robot Wars EX
42212,Brandish 2
42212,Brandish 2: Expert
42212,ブランディッシュ2 THE PLANET BUSTER
4389,Spider-Man and X-Men - Arcade's Revenge
4389,Homem-Aranha X-Men: A Vingança de Arcade!
46681,Operation: Armored Liberty 
46681,Super Battletank
46681,Super Battletank: War in the Gulf
276017,Breath of Fire: Ryuu no Senshi
276017,Breath of Fire: The Dragon Warrior
276017,BOF
42254,ドラゴンズ・アース
77378,SMAS+SMW
97118,ゴン
32601,Dorque & Ymp
32601,Dorke & Ymp
249148,Tintin au Tibet
1741,Rockman X
1741,MMX
307353,RC
307353,RC1
307353,RC2.0
307353,Rocket Crowbar v2.0 Beta
307353,Rocket Crowbar v1.9
307353,RCB
307353,RCrowbar
307353,Half-life Rocket Crowbar!
38019,幻獣旅団
4492,Urban Strike
42581,Karuraou
42581,King Garuda
167154,Primal Rage 2
167154,Rage 2
167154,Rage II
213885,シンジケート
323388,John Stewart Premier Skin
135268,The Super Mario Brothers Super Show 64
135268,SM64 Super Show
135268,Super Mario Bros. Super Show 64
135268,SMBSS64
135268,The Super Mario Bros. Super Show 64
72812,Inazuma Eleven: Great Road of Heroes
72812,闪电十一人 英雄们的胜利之路
72812,閃電十一人 英雄們的勝利之路
72812,INAZUMA ELEVEN: Victory Road
72812,Inazuma Eleven: Eiyuutachi no Victory Road
72812,Inazuma Eleven: Heroes' Victory Road
72812,Inazuma Eleven: Helden der
287084,Midway Presents Arcade's Greatest Hits
222820,アレサ
136080,Worms Battlegrounds and Worms W.M.D
45781,PGA Tour Golf 3
1253,Lost Vikings 2
1253,The Lost Vikings 2 Norse by Norsewest
5405,NHL 94
5405,NHL Hockey '94
6621,Chohmakaimura
6621,SUPER GHOULS'N GHOSTS
6621,Chou Makaimura
6621,Choh Makai Mura
6621,Chou Makai Mura
37832,スーパー五目ならべ　連珠
42506,Royal Conquest
1498,フロントミッション
42617,Lagoon
38130,ドラえもん：のび太と妖精の国
198669,Aladdin
198669,Electronic Aladdin
198669,Electronic Disney's Aladdin
198669,Electronic Disney's Aladdin LCD Game
330214,Super Metroid Arcade : Endless mode
280811,Beauty and the Beast
280811,Disney La Belle et la Bête
280811,Disney Die Schöne und das Biest
280811,Disney Belle en het Beest
284101,Mortal Kombat 3 Super Special
1726,Rockman & Forte
1726,Megaman and Bass
1726,洛克人与弗斯特
1726,Rockman and Forte
1534,KiKi KaiKai: Nazo no Kuro Manto
1534,Pocky and Rocky
1534,KiKi KaiKai: Nazo no Kuro Mantle
47498,Super Inindo: Datou Nobunaga
47498,Inindo: Datou Nobunaga
243453,Street Fighter Zero 2
243453,SFZ2
243453,SFA2
204616,Walt Disney's Classic The Jungle Book
204616,Walt Disney's The Jungle Book
204616,The Jungle Book
204616,"Disney's Mogli, O Menino Lobo"
204616,"Mogli, O Menino Lobo"
204616,Le Livre de la jungle
44437,ソリッドランナー
99509,アケアカNEOGEO マジカルドロップ2
42557,F1 Pole Position II
42557,Human Grand Prix 2
42557,Human Grand Prix II
21023,スーパーブラックバス 3Dファイト
1720,Rockman 7: Showdown of Destiny!
1720,Rockman 7: Destiny's Greatest Battle!
1720,Mega Man VII
1720,Rockman 7: Shukumei no Taiketsu!
5404,Mickey Mania
5404,Mickey Mania: As Eternas Aventuras de Mickey Mouse
147969,ステルス
9151,スーパーパンチアウト!!
9619,Pilot Wings
9619,Dragonfly
44418,できたてハイスクール
112875,God of War Part II
112875,God of War: Ragnarok
112875,戰神: 諸神黃昏
112875,战神:诸神黄昏
112875,God of War Ragnarok
112875,God of War: Ragnarök
1656,ファイナルファイト2
6349,Kid Klown in Crazy Chase
38389,南国少年パプワくん
95412,バトルクロス
4514,Ryuuko no Ken
4514,Fists of Dragon and Tiger
38320,スーパーファミコンウォーズ
243989,レミングス2
45227,海腹川背・旬
81467,"The Lord of the Rings, Vol. I"
242267,Battletoads & Double Dragon
18618,スーパーボンバーマン3
18380,パックインタイム
202585,ママレード·ボーイ
37944,ライトファンタジー
5550,Tactics Ogre
5550,Tactics Ogre: The Wheel of Fortune
5550,Tactics Ogre: Wheel of Fate
5550,タクティクス オウガ (デモ画面)
38185,バトルサブマリン
15833,Chaos Seed
15833,Chaos Seed: Fuusui Kairouki
15833,CHAOS SEED 風水回廊記
15833,Chaos Seed: Feng Shui Corridor
15833,カオスシード 〜風水回廊記〜
42736,Ardy Light Foot
156788,SUPER DUPER ISLAND ADVENTURE
324956,ジ・アトラス
11313,ロマンシング サ・ガ3
37982,放課後 in Beppin 女学院
217684,Electronic RoboCop 3
42348,ジーコ サッカー
215181,キャスパー
42342,美少女戦士セーラームーン S くるっくりん
4259,Rise of the Robots: The Director's Cut
198801,The Lion King
198801,Electronic The Lion King
198801,Electronic Disney's The Lion King
1124,Akumajou Dracula
1124,Devil's Castle Dracula
1124,Super Castlevania 4
1124,Akumajō Dracula
84918,Super E.D.F.
84918,Earth Defense Force
84918,Super Earth Defense Force
84918,EDF
84918,Super EDF
84918,Super E.D.F.: Earth Defense Force
84918,SUPER E.D.F. EARTH DEFENSE FORCE
1178,Estpolis 2
1178,Estpolis Denki II
1178,Lufia 2: Rise of the Sinistrals
42662,Desert Fighter: Suna no Arashi Sakusen
42662,Desert Fighter: Operation Sandstorm
37791,的中競馬塾
38125,峠・伝説 最速バトル 
7804,Yamaneko Bubsy no Daibouken
7804,Bubsy
7804,Bubsy: O Mais Esperto dos Felinos
231006,Street Fighter II'
231006,Street Fighter 2
217942,Electronic World Cup USA 94
9861,Live World Soccer Perfect Eleven
9861,Jikkyou World Soccer: Perfect Eleven
9861,ISS
38161,バトルレーサーズ
3656,Kirby Bowl
23091,Theme Park DS
46231,Brett Hull Hockey '95
38374,Magna Braban
38374,Magna Braban: Henreki no Yusha
38374,Magna Braban: The Wandering Hero
38374,マグナブラバン 〜遍歴の勇者
9633,Tenchi Souzou
9633,天地創造
42423,常勝麻雀　天牌
174187,バトルピンボール
42621,ザ・ファイヤーメン
8050,Tiny Toon Adventures
153771,ジミーコナーズのプロテニスツアー
14531,Tetris and Dr. Mario
4509,NHL Hockey 95
174910,Parodius: Non-Sense Fantasy
174910,Parodius Da!
174910,It's Parodius!: From Myth to Laughter
174910,Parodius Da!: Shinwa kara Owarai he
10162,スターゲイト
4546,WWF WrestleMania
1357,Area 88
1357,UN Squadron
76999,Super Cup Soccer
136206,Power Rangers - La Force du Temps & Ninja Storm
219488,Chou Makai-mura R
219488,Chohmakaimura R
219488,Chou Makaimura R
74492,真・女神転生 SYNCHRONICITY PROLOGUE
15834,エメラルドドラゴン
19712,NBA Deluxe
19712,NBA Jam TE
19712,NBA Jam T.E.
1092,DKC2
1092,Donkey Kong Country 2
1092,DKC 2
1092,DK2
1092,Donkey Kong 2
1092,DKC2: DKQ
1092,Super Donkey Kong 2: Dixie & Diddy
1092,Donkey Kong Country 2: Diddy's Kong-Quest
1092,Donkey Kong Country 2: Diddy Kong's Quest
15889,アルバートオデッセイ
198028,スーパーボンバーマン
1103,Metroid 3
1026,Zelda no Densetsu: Kamigami no Triforce
1026,Zelda III
1026,TLoZ: ALttP
1026,LTTP
1026,A Lenda de Zelda: Um Elo com o Passado
1026,젤다 신트포
1026,塞尔达传说 - 众神的三角力量
1026,Zelda 3
329147,Equinox: A Courting Death Side Story
329147,Equinox: A Slice of Life
55092,Seiken Densetsu 2 Secret of Mana
55092,Secret of Mana Remake
11616,Soul Blader
48939,Super Star Wars: Jedi no Fukushuu
48939,Super Guerra nas Estrelas: O Retorno de Jedi
217956,Electronic Jurassic Park
217956,Electronic Jurassic Park LCD Wrist Game
7828,A Ilha da Garganta Cortada
7828,CutThroat Island
7828,La isla de las cabezas cortadas
210342,Vortex (iPod game)
42637,Super Dropzone: Intergalactic Rescue Mission
10354,Killer Instinct: Season 2
10354,Killer Instinct 3
10354,Killer Instinct: Season 3
10354,Killer Instinct Classic
190013,Wario no Mori
42618,K. H. Rummenigge's Player Manager
11603,Pac-Man 2
11603,Hello! Pac-Man
42655,Super Hockey
81523,Super Tennis World Circuit
37251,World Heroes 2
198933,Super Street Fighter II
198933,Super Street Fighter 2
42636,アルカノイド Doh It Again
4245,Pro Football '93
45566,WWF Super WrestleMania
81899,Mortal Kombat I & II
223018,Mortal Kombat Pro V 
223018,Mortal Kombat V Turbo 30
223018,Mortal Kombat II (Yoko)
28509,Wild Trax
28509,FX Trax
19773,Warlock
198845,Electronic Paperboy 2
42474,Pink Pansaa
42474,The Pink Panther
7351,Doom (2016)
7351,Doom 4
7351,Doom IV
7351,Doom Classic
7351,DOOM
276932,Rushing Beat
276932,Rival Turf!
365654,Crash Dummies: Slick Bouya no Daichousen
14901,The Hunt for Red October: Based on the Movie
14901,Hunt for Red October II
14901,Hunt for Red October 2
15844,トレジャーハンターG
49447,Angelique Duet
49447,Angelique Voice Fantasy
49447,Angelique Special
45437,アンジェリーク デュエット
1709,Mario to Wario
1709,Mario and Wario
42546,SUPER ボンバーマン　ぱにっくボンバーワルド
42546,Super Bomberman: Panic Bomber World
36731,Sailor Moon Super S: Floating Panic
36731,Pretty Soldier Sailor Moon Super S: Floating Panic
131387,ウルトラマン
63941,Ultraman: Intelligence Upgrade Mission
42484,Mystic Ark
42484,7th Saga 2
77969,Sim City Graphics Set 2: Future Cities
38184,Captain Tsubasa 4
71128,Garou Densetsu: Shukumei no Tatakai
71128,Fatal Fury: King of Fighters
37811,スーパー麻雀大会
36734,Classic Road II: Real Kouma Simulation
36734,Classic Road 2
38332,Super Soccer Champ 2
47587,"Samurai Spirits, a True Story: Bushido Biographies"
47587,Samurai Shodown RPG
47587,Shinsetsu Samurai Spirits Bushidō Retsuden
47587,Shinsetsu Samurai Spirits: Bushidou Retsuden
42425,ワギャンパラダイス
122266,"Dragon Quest I, II, III"
122266,Dragon Quest Collection 1/2/3
63509,RPG Tsukuru: Super Dante
63509,RPG Maker: Super Dante
38371,Tetorisu Batoru Gaiden Butō Gaiden
38371,テトリス バトル外伝 武闘外伝
37836,スーパーファミスタ2
8564,ファイターズヒストリー
58791,Fighter's History: Mizoguchi Kiki Ippatsu!!
58791,Fighter's History 3
58791,ファイターズヒストリー 〜溝口危機一髪!!〜
1499,Front Mission Series: Gun Hazard
13091,Battletech
13091,机甲战士
13091,Battletech: Ubawareta Seihai
78959,Mahou Kishi Rayearth
39578,Tomorrow’s Joe
39578,Joe of Tomorrow
77634,デア ラングリッサー
4001,rockman x collection
4001,rock man x collection
4001,megaman x collection
38321,The Great Battle
38321,Great Battle
38321,SD The Great Battle
38321,SD ザ・グレイトバトル
306049,Cyber Citizen Shockman 0
306049,Kaizou Choujin Schbibinman Zero
306049,Kaizou Choujin Schbibinman Rei
306049,Kaizou Choujin Shubibinman Zero
5579,Dragon Slayer 6: Legend of Heroes
5579,英雄传说
5579,Dragon Slayer: Eiyuu Densetsu
99492,アケアカNEOGEO キング オブ ザ モンスターズ
99492,アケアカNEOGEO キング・オブ・ザ・モンスターズ
38114,Nintama Rantarō 2
42406,す～ぱ～ぷよぷよ
42470,Super Puyo Puyo 2: Tsuu
42470,す〜ぱ〜ぷよぷよ通
42470,Super Puyo Puyo Tsu
42470,Super Puyo Puyo 2
42470,Super Puyo Puyo Tsuu BS Ban
42555,FEDA: The Emblem of Justice
15935,Nekketsu Tairiku: Burning Heroes
15893,Aqutallion
15893,Secret of the Stars
15893,Tecmo Secret of the Stars: A Fantasy
15374,Spindizzy II
15843,バハムート ラグーン
42649,Slap Stick
42649,Slapstick
42649,Surappusutikku
42462,スレイヤーズ
4393,英雄传说II
4393,The Legend of Heroes 2
4393,Dragon Slayer: Eiyuu Densetsu 2
4393,Dragon Slayer: The Legend of Heroes II
4393,Dragon Slayer: The Legend of Heroes 2
4450,Super Shanghai: Dragon's Eye
4450,Shanghai 2: Dragon's Eye
