edition_id,title_primary,platform,wikidata_qid,wikidata_label,release_date_p577,release_regions_p291,publisher_p123_for_platform,publisher_p123_all,publisher_p123,developer_p178_for_platform,developer_p178_all,developer_p178,country_of_origin_p495,languages_p407,platform_labels_p400,source
ED-906BB09247,'96 Zenkoku Koukou Soccer Senshuken,SFC,,,,,,,,,,,,,,wikidata
ED-74C0623979,2020 Nen Super Baseball,SFC,,,,,,,,,,,,,,wikidata
ED-27C6B84BBB,2020 Super Baseball,SFC,Q2081774,2020 Super Baseball,1993-03-12,,,SNK,SNK,,SNK,SNK,Japan,,Sega Genesis; Super Nintendo Entertainment System; Neo Geo; Neo Geo CD; 닌텐도 스위치,wikidata
ED-4AF853DEC2,240p Test Suite,SNES,,,,,,,,,,,,,,wikidata
ED-3C98D10067,240p Test Suite,SNES,,,,,,,,,,,,,,wikidata
ED-D15C96C6AE,3 Jigen Kakutou Ballz,SFC,,,,,,,,,,,,,,wikidata
ED-3D8E06E16A,3x3 Eyes Sazanaizu Jyumahoukan,SFC,,,,,,,,,,,,,,wikidata
ED-E1CBE4E89C,3x3 Eyes Sazanaizu Seima Kourinden,SFC,,,,,,,,,,,,,,wikidata
ED-728F3F91FD,3×3 Eyes Seima Kourinden,SFC,,,,,,,,,,,,,,wikidata
ED-9B2E1FB38B,4 Nin Shougi,SFC,,,,,,,,,,,,,,wikidata
ED-E50193C31E,46 Okunen Monogatari Harukanaru Eden he,SFC,,,,,,,,,,,,,,wikidata
ED-A82EFFE960,ABC Monday Night Football,SFC,Q3600489,ABC Monday Night Football,1989-00-00,,,,,,Kuusoukagaku,Kuusoukagaku,United States,,DOS; Super Nintendo Entertainment System; Commodore 64; Commodore Amiga,wikidata
ED-EB159D6520,AIII S.V. - A Ressha de Ikou 3 Super Version,SFC,,,,,,,,,,,,,,wikidata
ED-A9C849C384,AIII S.V. A Ressha de Ikou 3 Super Version,SFC,,,,,,,,,,,,,,wikidata
ED-6BA9D6F533,"ASCII Super Advantage, Arcade controller",SNES,,,,,,,,,,,,,,wikidata
ED-889DCC0CE7,"ASCII Super Advantage, Arcade controller",SNES,,,,,,,,,,,,,,wikidata
ED-BE7B116A15,Aaahh!!! Real Monsters,SNES,Q2017312,Aaahh!!! Real Monsters,1995-08-15,,,Viacom,Viacom,,Realtime Associates,Realtime Associates,United States,,Sega Genesis; Super Nintendo Entertainment System,wikidata
ED-D421DE509C,Aaahh!!! Real Monsters,SNES,Q2017312,Aaahh!!! Real Monsters,1995-08-15,,,Viacom,Viacom,,Realtime Associates,Realtime Associates,United States,,Sega Genesis; Super Nintendo Entertainment System,wikidata
ED-227B81D68D,Accele Brid,SFC,Q2496494,Accele Brid,1993-11-26,,,Tomy,Tomy,,Genki,Genki,Japan,,Super Nintendo Entertainment System,wikidata
ED-614023D46A,Ace o Nerae!,SFC,Q4669736,Ace o Nerae!,1993-00-00,,,Telenet Japan,Telenet Japan,,Telenet Japan,Telenet Japan,,,Super Nintendo Entertainment System,wikidata
ED-9259F4F83E,Acrobat Mission,SFC,Q4675293,Acrobat Mission,1992-09-11,,,Taito,Taito,,UPL,UPL,Japan,,arcade video game machine; Super Nintendo Entertainment System,wikidata
ED-F8E6B83A92,ActRaiser,SFC,Q343033,ActRaiser,1990-12-16,,,Enix; Square Enix,Enix; Square Enix,,Quintet,Quintet,Japan,English; Japanese,Super Nintendo Entertainment System; mobile phone; Wii; Nintendo Super System,wikidata
ED-9C798A0DBC,ActRaiser 2,SNES,Q2169654,ActRaiser 2,1993-10-29,,,Enix; Ubisoft,Enix; Ubisoft,,Quintet,Quintet,Japan,,Super Nintendo Entertainment System,wikidata
ED-DC875DFDEC,ActRaiser 2,SNES,Q2169654,ActRaiser 2,1993-10-29,,,Enix; Ubisoft,Enix; Ubisoft,,Quintet,Quintet,Japan,,Super Nintendo Entertainment System,wikidata
ED-832952EBF5,ActRaiser 2 Chinmoku heno Seisen,SFC,,,,,,,,,,,,,,wikidata
ED-509D6FB7E0,Action Pachio,SFC,Q4677134,Action Pachio,1993-04-09,,,Coconuts Japan,Coconuts Japan,,,,,,Super Nintendo Entertainment System,wikidata
ED-FD986741DC,Actraiser,SNES,Q343033,ActRaiser,1990-12-16,,,Enix; Square Enix,Enix; Square Enix,,Quintet,Quintet,Japan,English; Japanese,Super Nintendo Entertainment System; mobile phone; Wii; Nintendo Super System,wikidata
ED-FDCB5C2C2E,Actraiser,SNES,Q343033,ActRaiser,1990-12-16,,,Enix; Square Enix,Enix; Square Enix,,Quintet,Quintet,Japan,English; Japanese,Super Nintendo Entertainment System; mobile phone; Wii; Nintendo Super System,wikidata
ED-36A0C92680,Addams Family Values,SNES,Q2741882,Addams Family Values,1995-00-00,,,Ocean Software,Ocean Software,,Ocean Software,Ocean Software,United Kingdom,,Super Nintendo Entertainment System; Sega Genesis,wikidata
ED-407F7C78B2,Addams Family Values,SNES,Q2741882,Addams Family Values,1995-00-00,,,Ocean Software,Ocean Software,,Ocean Software,Ocean Software,United Kingdom,,Super Nintendo Entertainment System; Sega Genesis,wikidata
