title_primary,platform,size
Super Star Wars,SNES,3
Donkey Kong Country,SNES,3
The Legend of Zelda A Link to the Past,SNES,3
Donkey Kong Country 2 Diddy's Kong Quest,SNES,3
Alien 3,SNES,3
Illusion of Time,SNES,3
Indiana Jones Greatest Adventures,SNES,3
Pitfall The Mayan Adventure,SNES,3
Ghoul Patrol,SNES,3
Super Castlevania IV,SNES,3
Super Mario All-Stars,SNES,3
B.O.B.,SNES,2
ActRaiser 2,SNES,2
Zombies,SNES,2
Winter Olympics Lillehammer '94,SNES,2
Winter Gold,SNES,2
WWF Wrestlemania The Arcade Game,SNES,2
WWF Super Wrestlemania,SNES,2
Vortex,SNES,2
Top Gear,SNES,2
